timestamp_utc,station_id,station_sequence,upstream_station,downstream_station,vehicle_id,vehicle_present,station_status,machine_state,cycle_time,standard_cycle_time,takt_time,takt_deviation,cycle_time_to_takt_ratio,utilization,wip,queue,throughput_vehicles_per_hour,station_capacity,material_status
2026-08-26 04:00:00+00:00,S01,1,,S02,VH00001,True,RUNNING,ACTIVE,60.014,58.1,60.0,0.014,1.0002,0.872,2,2,30.43,1,OK
2026-08-26 04:00:00+00:00,S02,2,S01,S03,VH00001,True,RUNNING,ACTIVE,56.763,56.76,60.0,-3.237,0.946,0.8802,2,2,30.43,1,OK
2026-08-26 04:00:00+00:00,S03,3,S02,S04,VH00001,True,RUNNING,ACTIVE,59.124,58.43,60.0,-0.876,0.9854,0.8311,2,2,30.43,1,OK
2026-08-26 04:00:00+00:00,S04,4,S03,S05,VH00001,True,RUNNING,ACTIVE,56.382,57.79,60.0,-3.618,0.9397,0.7671,2,2,30.43,1,OK
2026-08-26 04:00:00+00:00,S05,5,S04,S06,VH00001,True,RUNNING,ACTIVE,55.672,55.38,60.0,-4.328,0.9279,0.7615,2,2,30.43,1,OK
2026-08-26 04:00:00+00:00,S06,6,S05,S07,VH00001,True,RUNNING,ACTIVE,60.358,58.9,60.0,0.358,1.006,0.817,2,2,30.43,1,OK
2026-08-26 04:00:00+00:00,S07,7,S06,S08,VH00001,True,RUNNING,ACTIVE,59.037,58.04,60.0,-0.963,0.984,0.8602,2,2,30.43,1,OK
2026-08-26 04:00:00+00:00,S08,8,S07,S09,VH00001,True,RUNNING,ACTIVE,58.461,58.14,60.0,-1.539,0.9744,0.8662,2,2,30.43,1,OK
2026-08-26 04:00:00+00:00,S09,9,S08,S10,VH00001,True,RUNNING,ACTIVE,56.103,55.51,60.0,-3.897,0.935,0.8123,2,2,30.43,1,OK
2026-08-26 04:00:00+00:00,S10,10,S09,S11,VH00001,True,RUNNING,ACTIVE,54.428,56.8,60.0,-5.572,0.9071,0.8137,2,2,30.43,1,OK
