snapshot_id,snapshot_timestamp_utc,station_id,station_sequence,upstream_station,downstream_station,takt_time,standard_cycle_time,station_capacity,configuration_status
MS000001,2026-08-26 04:00:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000002,2026-08-26 04:00:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000003,2026-08-26 04:00:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000004,2026-08-26 04:00:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000005,2026-08-26 04:00:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000006,2026-08-26 04:00:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000007,2026-08-26 04:00:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000008,2026-08-26 04:00:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000009,2026-08-26 04:00:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000010,2026-08-26 04:00:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000011,2026-08-26 04:00:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000012,2026-08-26 04:00:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000013,2026-08-26 04:01:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000014,2026-08-26 04:01:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000015,2026-08-26 04:01:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000016,2026-08-26 04:01:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000017,2026-08-26 04:01:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000018,2026-08-26 04:01:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000019,2026-08-26 04:01:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000020,2026-08-26 04:01:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000021,2026-08-26 04:01:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000022,2026-08-26 04:01:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000023,2026-08-26 04:01:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000024,2026-08-26 04:01:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000025,2026-08-26 04:02:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000026,2026-08-26 04:02:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000027,2026-08-26 04:02:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
MS000028,2026-08-26 04:02:15+00:00,S04,4,S03,S05,60.0,57.79,1,ACTIVE
MS000029,2026-08-26 04:02:20+00:00,S05,5,S04,S06,60.0,55.38,1,ACTIVE
MS000030,2026-08-26 04:02:25+00:00,S06,6,S05,S07,60.0,58.9,1,ACTIVE
MS000031,2026-08-26 04:02:30+00:00,S07,7,S06,S08,60.0,58.04,1,ACTIVE
MS000032,2026-08-26 04:02:35+00:00,S08,8,S07,S09,60.0,58.14,1,ACTIVE
MS000033,2026-08-26 04:02:40+00:00,S09,9,S08,S10,60.0,55.51,1,ACTIVE
MS000034,2026-08-26 04:02:45+00:00,S10,10,S09,S11,60.0,56.8,1,ACTIVE
MS000035,2026-08-26 04:02:50+00:00,S11,11,S10,S12,60.0,56.48,1,ACTIVE
MS000036,2026-08-26 04:02:55+00:00,S12,12,S11,,60.0,58.71,1,ACTIVE
MS000037,2026-08-26 04:03:00+00:00,S01,1,,S02,60.0,58.1,1,ACTIVE
MS000038,2026-08-26 04:03:05+00:00,S02,2,S01,S03,60.0,56.76,1,ACTIVE
MS000039,2026-08-26 04:03:10+00:00,S03,3,S02,S04,60.0,58.43,1,ACTIVE
